year,month,count,date
2009,9,4984,2009-09-07
2009,10,6527,2009-10-05
2009,11,8080,2009-11-02
2009,12,6750,2009-12-02
2010,1,7197,2010-01-01
2010,2,8222,2010-02-01
2010,3,9825,2010-03-01
2010,4,8163,2010-04-01
2010,5,9593,2010-05-03
2010,6,12162,2010-06-01
2010,7,11498,2010-07-01
2010,8,14674,2010-08-02
2010,9,13036,2010-09-01
2010,10,14279,2010-10-01
2010,11,21204,2010-11-01
2010,12,17558,2010-12-01
2011,1,23172,2011-01-03
2011,2,16340,2011-02-01
2011,3,22390,2011-03-01
2011,4,25775,2011-04-01
2011,5,36355,2011-05-02
2011,6,29117,2011-06-01
2011,7,36533,2011-07-01
2011,8,52200,2011-08-01
2011,9,51776,2011-09-01
2011,10,53748,2011-10-01
2011,11,69217,2011-11-01
2011,12,74371,2011-12-01
2012,1,75907,2012-01-01
2012,2,71552,2012-02-01
2012,3,76006,2012-03-01
2012,4,78909,2012-04-01
2012,5,81135,2012-05-01
2012,6,67820,2012-06-01
2012,7,91504,2012-07-01
2012,8,78555,2012-08-01
2012,9,91713,2012-09-01
2012,10,87415,2012-10-01
2012,11,100264,2012-11-01
2012,12,101473,2012-12-01
2013,1,107190,2013-01-01
2013,2,108106,2013-02-01
2013,3,106269,2013-03-01
2013,4,115503,2013-04-01
2013,5,112967,2013-05-01
2013,6,124699,2013-06-01
2013,7,136844,2013-07-01
2013,8,126836,2013-08-01
2013,9,126804,2013-09-01
2013,10,127184,2013-10-01
2013,11,122262,2013-11-01
2013,12,155291,2013-12-01
2014,1,150676,2014-01-01
2014,2,152161,2014-02-01
2014,3,180040,2014-03-01
2014,4,157353,2014-04-01
2014,5,178072,2014-05-01
2014,6,174723,2014-06-01
2014,7,271516,2014-07-01
2014,8,285077,2014-08-01
2014,9,270671,2014-09-01
2014,10,299187,2014-10-01
2014,11,273947,2014-11-01
2014,12,300609,2014-12-01
2015,1,313746,2015-01-01
2015,2,368917,2015-02-01
2015,3,430132,2015-03-01
2015,4,452133,2015-04-01
2015,5,465061,2015-05-01
